k;Accuracy
1;1.0
2;1.0
3;1.0
4;1.0
5;1.0
6;1.0
7;0.9777777777777777
8;0.9777777777777777
9;0.9777777777777777
10;1.0
11;1.0
12;1.0
13;0.9777777777777777
14;1.0
15;0.9777777777777777
16;0.9777777777777777
17;0.9777777777777777
18;0.9777777777777777
19;0.9777777777777777
20;0.9777777777777777
21;0.9777777777777777
22;0.9777777777777777
23;0.9777777777777777
24;0.9777777777777777
25;0.9777777777777777
26;0.9777777777777777
27;0.9777777777777777
28;0.9777777777777777
29;0.9777777777777777
30;0.9777777777777777
31;0.9777777777777777
32;0.9777777777777777
33;0.9777777777777777
34;0.9777777777777777
35;0.9777777777777777
36;0.9777777777777777
37;0.9777777777777777
38;0.9777777777777777
39;0.9777777777777777
40;0.9777777777777777
41;0.9777777777777777
42;0.9777777777777777
43;0.9777777777777777
44;0.9555555555555556
45;0.9555555555555556
46;0.9555555555555556
47;0.9333333333333333
48;0.9555555555555556
49;0.9111111111111111
50;0.9333333333333333
51;0.9111111111111111
52;0.9333333333333333
53;0.9111111111111111
54;0.9333333333333333
55;0.9333333333333333
56;0.9333333333333333
57;0.9333333333333333
58;0.9333333333333333
59;0.9333333333333333
60;0.9111111111111111
61;0.9111111111111111
62;0.9111111111111111
63;0.9333333333333333
64;0.9333333333333333
65;0.9333333333333333
66;0.9111111111111111
67;0.8666666666666667
68;0.9111111111111111
69;0.9111111111111111
70;0.8888888888888888
71;0.8444444444444444
72;0.8222222222222222
73;0.8
74;0.7555555555555555
75;0.7555555555555555
76;0.7555555555555555
77;0.7555555555555555
78;0.6888888888888889
79;0.6666666666666666
80;0.6666666666666666
81;0.6666666666666666
82;0.6666666666666666
83;0.6666666666666666
84;0.6666666666666666
85;0.6666666666666666
86;0.6666666666666666
87;0.6666666666666666
88;0.6666666666666666
89;0.6666666666666666
90;0.6666666666666666
91;0.6666666666666666
92;0.6666666666666666
93;0.6666666666666666
94;0.6666666666666666
95;0.6666666666666666
96;0.6666666666666666
97;0.6666666666666666
98;0.6666666666666666
99;0.6666666666666666
100;0.6444444444444445
101;0.6222222222222222
102;0.5777777777777777
103;0.4888888888888889
104;0.4888888888888889
105;0.4888888888888889
